class,group,channel,base,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,C1,C2,C3
1,A,925929996604829706,1000,0,0,0,0,0,0,0,0,0,0,0
1,B,925929996604829706,1000,0,0,0,0,0,0,0,0,0,0,0
1,C,925929996604829706,1000,0,0,0,0,0,0,0,0,0,0,0
1,D,925929996604829706,1000,0,0,0,0,0,0,0,0,0,0,0
1,E,925929996604829706,1000,0,0,0,0,0,0,0,0,0,0,0
2,A,925930017467281459,1000,0,0,0,0,0,0,0,0,0,0,0
2,B,925930017467281459,1000,0,0,0,0,0,0,0,0,0,0,0
2,C,925930017467281459,1000,0,0,0,0,0,0,0,0,0,0,0
2,D,925930017467281459,1000,0,0,0,0,0,0,0,0,0,0,0
2,E,925930017467281459,1000,0,0,0,0,0,0,0,0,0,0,0
3,A,925930039659360267,1000,0,0,0,0,0,0,0,0,0,0,0
3,B,925930039659360267,1000,0,0,0,0,0,0,0,0,0,0,0
3,C,925930039659360267,1000,0,0,0,0,0,0,0,0,0,0,0
3,D,925930039659360267,1000,0,0,0,0,0,0,0,0,0,0,0
3,E,925930039659360267,1000,0,0,0,0,0,0,0,0,0,0,0
4,A,925930062421827594,1000,0,0,0,0,0,0,0,0,0,0,0
4,B,925930062421827594,1000,0,0,0,0,0,0,0,0,0,0,0
4,C,925930062421827594,1000,0,0,0,0,0,0,0,0,0,0,0
4,D,925930062421827594,1000,0,0,0,0,0,0,0,0,0,0,0
4,E,925930062421827594,1000,0,0,0,0,0,0,0,0,0,0,0
5,A,925930081627570186,1000,0,0,0,0,0,0,0,0,0,0,0
5,B,925930081627570186,1000,0,0,0,0,0,0,0,0,0,0,0
5,C,925930081627570186,1000,0,0,0,0,0,0,0,0,0,0,0
5,D,925930081627570186,1000,0,0,0,0,0,0,0,0,0,0,0
5,E,925930081627570186,1000,0,0,0,0,0,0,0,0,0,0,0
6,A,925930104197091368,1000,0,0,0,0,0,0,0,0,0,0,0
6,B,925930104197091368,1000,0,0,0,0,0,0,0,0,0,0,0
6,C,925930104197091368,1000,0,0,0,0,0,0,0,0,0,0,0
6,D,925930104197091368,1000,0,0,0,0,0,0,0,0,0,0,0
6,E,925930104197091368,1000,0,0,0,0,0,0,0,0,0,0,0
