class,group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,C1,C2,C3
1,A,0,0,0,0,0,0,0,0,0,0,0
1,B,0,0,0,0,300,0,0,0,0,0,0
1,C,0,0,0,0,0,0,0,0,0,0,0
1,D,0,0,0,0,0,0,0,0,0,0,0
1,E,0,0,0,0,0,0,0,0,0,0,0
2,A,0,0,0,0,0,0,0,0,0,0,0
2,B,0,0,0,0,0,0,0,0,0,0,0
2,C,0,0,0,0,0,0,0,0,0,0,0
2,D,0,0,0,0,0,0,0,0,0,0,0
2,E,0,0,0,0,0,0,0,0,0,0,0
3,A,0,0,0,0,0,0,0,0,0,0,0
3,B,0,0,0,0,0,0,0,0,0,0,0
3,C,0,0,0,0,0,0,0,0,0,0,0
3,D,0,0,0,0,0,0,0,0,0,0,0
3,E,0,0,0,0,0,0,0,0,0,0,0
4,A,0,0,0,0,0,0,0,0,0,0,0
4,B,0,0,0,0,0,0,0,0,0,0,0
4,C,0,0,0,0,0,0,0,0,0,0,0
4,D,0,0,0,0,0,0,0,0,0,0,0
4,E,0,0,0,0,0,0,0,0,0,0,0
5,A,0,0,0,0,0,0,0,0,0,0,0
5,B,0,0,0,0,0,0,0,0,0,0,0
5,C,0,0,0,0,0,0,0,0,0,0,0
5,D,0,0,0,0,0,0,0,0,0,0,0
5,E,0,0,0,0,0,0,0,0,0,0,0
6,A,0,0,0,0,0,0,0,0,0,0,0
6,B,0,0,0,0,0,0,0,0,0,0,0
6,C,0,0,0,0,0,0,0,0,0,0,0
6,D,0,0,0,0,0,0,0,0,0,0,0
6,E,0,0,0,0,0,0,0,0,0,0,0
